Library,Function,Address
"SHLWAPI.dll","PathRemoveFileSpecW","0x180105790"
"SHLWAPI.dll","PathCanonicalizeA","0x180105798"
"WINHTTP.dll","WinHttpConnect","0x180105a20"
"WINHTTP.dll","WinHttpReceiveResponse","0x180105a28"
"WINHTTP.dll","WinHttpSendRequest","0x180105a30"
"WINHTTP.dll","WinHttpOpenRequest","0x180105a38"
"WINHTTP.dll","WinHttpQueryHeaders","0x180105a40"
"WINHTTP.dll","WinHttpCloseHandle","0x180105a48"
"WINHTTP.dll","WinHttpOpen","0x180105a50"
"WINHTTP.dll","WinHttpCrackUrl","0x180105a58"
"dbghelp.dll","SymGetOptions","0x180105e58"
"dbghelp.dll","SymSetOptions","0x180105e60"
"dbghelp.dll","SymFromAddr","0x180105e68"
"dbghelp.dll","SymInitialize","0x180105e70"
"skia.dll","??3SkTextBlob@@CAXPEAX@Z","0x180105e90"
"skia.dll","?MakeDefault@SkTypeface@@SA?AV?$sk_sp@VSkTypeface@@@@XZ","0x180105e98"
"skia.dll","?getCanvas@SkSurface@@QEAAPEAVSkCanvas@@XZ","0x180105ea0"
"skia.dll","?MakeRasterDirect@SkSurface@@SA?AV?$sk_sp@VSkSurface@@@@AEBUSkImageInfo@@PEAX_KPEBVSkSurfaceProps@@@Z","0x180105ea8"
"skia.dll","?clipRect@SkCanvas@@QEAAXAEBUSkRect@@W4SkClipOp@@_N@Z","0x180105eb0"
"skia.dll","?MakeFromName@SkTypeface@@SA?AV?$sk_sp@VSkTypeface@@@@QEBDVSkFontStyle@@@Z","0x180105eb8"
"skia.dll","?getFamilyName@SkTypeface@@QEBAXPEAVSkString@@@Z","0x180105ec0"
"skia.dll","?restore@SkCanvas@@QEAAXXZ","0x180105ec8"
"skia.dll","?drawTextBlob@SkCanvas@@QEAAXPEBVSkTextBlob@@MMAEBVSkPaint@@@Z","0x180105ed0"
"skia.dll","??0SkFont@@QEAA@XZ","0x180105ed8"
"skia.dll","?measureText@SkFont@@QEBAMPEBX_KW4SkTextEncoding@@PEAUSkRect@@PEBVSkPaint@@@Z","0x180105ee0"
"skia.dll","??0SkPaint@@QEAA@XZ","0x180105ee8"
"skia.dll","??1SkPaint@@QEAA@XZ","0x180105ef0"
"skia.dll","?setColor@SkPaint@@QEAAXAEBU?$SkRGBA4f@$02@@PEAVSkColorSpace@@@Z","0x180105ef8"
"skia.dll","?FromColor@?$SkRGBA4f@$02@@SA?AU1@I@Z","0x180105f00"
"skia.dll","?flush@SkSurface@@QEAA?AW4GrSemaphoresSubmitted@@AEBUGrFlushInfo@@PEBVGrBackendSurfaceMutableState@@@Z","0x180105f08"
"skia.dll","?save@SkCanvas@@QEAAHXZ","0x180105f10"
"skia.dll","?MakeRasterData@SkImage@@SA?AV?$sk_sp@VSkImage@@@@AEBUSkImageInfo@@V?$sk_sp@VSkData@@@@_K@Z","0x180105f18"
"skia.dll","?getBounds@SkTypeface@@QEBA?AUSkRect@@XZ","0x180105f20"
"skia.dll","?setSize@SkFont@@QEAAXM@Z","0x180105f28"
"skia.dll","??0SkString@@QEAA@XZ","0x180105f30"
"skia.dll","??1SkString@@QEAA@XZ","0x180105f38"
"skia.dll","??1SkTextBlob@@AEAA@XZ","0x180105f40"
"skia.dll","?drawColor@SkCanvas@@QEAAXAEBU?$SkRGBA4f@$02@@W4SkBlendMode@@@Z","0x180105f48"
"skia.dll","?MakeFromText@SkTextBlob@@SA?AV?$sk_sp@VSkTextBlob@@@@PEBX_KAEBVSkFont@@W4SkTextEncoding@@@Z","0x180105f50"
"skia.dll","?DummyReleaseProc@SkData@@CAXPEBXPEAX@Z","0x180105f58"
"skia.dll","??3SkData@@CAXPEAX@Z","0x180105f60"
"skia.dll","??1SkData@@AEAA@XZ","0x180105f68"
"skia.dll","?MakeWithProc@SkData@@SA?AV?$sk_sp@VSkData@@@@PEBX_KP6AX0PEAX@Z2@Z","0x180105f70"
"skia.dll","?setStrokeWidth@SkPaint@@QEAAXM@Z","0x180105f78"
"skia.dll","?setStyle@SkPaint@@QEAAXW4Style@1@@Z","0x180105f80"
"skia.dll","??0SkPaint@@QEAA@AEBU?$SkRGBA4f@$02@@PEAVSkColorSpace@@@Z","0x180105f88"
"skia.dll","?drawImageRect@SkCanvas@@QEAAXPEBVSkImage@@AEBUSkIRect@@AEBUSkRect@@PEBVSkPaint@@W4SrcRectConstraint@1@@Z","0x180105f90"
"skia.dll","?drawRect@SkCanvas@@QEAAXAEBUSkRect@@AEBVSkPaint@@@Z","0x180105f98"
